start_date,points_average,total_points,new total points,,,,,,,
19-Mar,,42,,,,,,,,
22-Mar,,13,,,,,,,,
31-Mar,,57.4,,,,,,,,
,,100,,,,,,,,
,,38.2,,,,,,,,
09-Apr,,78,,,,,,,,
2023-04-13T00:00:00.000Z,65.25,106.5,100,,,,,start_date,points_average,total_points
2023-04-16T00:00:00.000Z,64.8,86.5,86.5,,,,,2023-04-16T00:00:00.000Z,64.8,86.5
2023-04-22T00:00:00.000Z,62.61,10,10,,,,,2023-04-22T00:00:00.000Z,62.61,10
2023-04-25T00:00:00.000Z,64.29,101,100,,,,,2023-04-25T00:00:00.000Z,64.29,100
2023-04-29T00:00:00.000Z,64.41,86.5,86.5,,,,,2023-04-29T00:00:00.000Z,64.41,86.5
2023-05-02T00:00:00.000Z,63.31,18.8,18.8,,,,,2023-05-02T00:00:00.000Z,63.31,18.8
2023-05-05T00:00:00.000Z,63.67,68,68,,,,,2023-05-05T00:00:00.000Z,63.67,68
2023-05-07T00:00:00.000Z,65.01,127.8,100,,,,,2023-05-07T00:00:00.000Z,65.01,100
2023-05-12T00:00:00.000Z,62.71,14.8,14.8,,,,,2023-05-12T00:00:00.000Z,62.71,14.8
2023-05-15T00:00:00.000Z,64.65,125.1,100,,,,,2023-05-15T00:00:00.000Z,64.65,100
2023-05-21T00:00:00.000Z,67.2,139.4,100,,,,,2023-05-21T00:00:00.000Z,67.2,100
2023-05-23T00:00:00.000Z,69.1,81,81,,,,,2023-05-23T00:00:00.000Z,69.1,81
2023-05-26T00:00:00.000Z,69.6,139.9,100,,,,,2023-05-26T00:00:00.000Z,69.6,100
2023-05-29T00:00:00.000Z,69.6,82.5,82.5,,,,,2023-05-29T00:00:00.000Z,69.6,82.5
2023-06-07T00:00:00.000Z,67.5,33.2,33.2,,,,,2023-06-07T00:00:00.000Z,67.5,33.2
2023-07-12T00:00:00.000Z,66.37,21.96,21.96,,,,,2023-07-12T00:00:00.000Z,66.37,21.96
2023-07-20T00:00:00.000Z,64.52,44.56,44.56,,,,,2023-07-20T00:00:00.000Z,64.52,44.56
2023-07-27T00:00:00.000Z,61.91,21.6,21.6,,,,,2023-07-27T00:00:00.000Z,61.91,21.6
2023-07-29T00:00:00.000Z,61.15,42.8,42.8,,,,,2023-07-29T00:00:00.000Z,61.15,42.8
2023-08-01T00:00:00.000Z,60.77,88.5,88.5,,,,,2023-08-01T00:00:00.000Z,60.77,88.5
2023-08-03T00:00:00.000Z,60.23,9.4,9.4,,,,,2023-08-03T00:00:00.000Z,60.23,9.4
2023-08-06T00:00:00.000Z,59.82,21.6,21.6,,,,,2023-08-06T00:00:00.000Z,59.82,21.6
2023-08-08T00:00:00.000Z,57.01,15.8,15.8,,,,,2023-08-08T00:00:00.000Z,57.01,15.8
2023-08-12T00:00:00.000Z,59.36,117.4,100,,,,,2023-08-12T00:00:00.000Z,59.36,100
2023-08-13T00:00:00.000Z,57.36,27.2,27.2,,,,,2023-08-13T00:00:00.000Z,57.36,27.2
2023-09-02T00:00:00.000Z,57.36,21.5,21.5,,,,,2023-09-02T00:00:00.000Z,57.36,21.5
2023-09-04T00:00:00.000Z,57.36,128.4,100,,,,,2023-09-04T00:00:00.000Z,57.36,100
2023-09-10T00:00:00.000Z,59.01,91.5,91.5,,,,,2023-09-10T00:00:00.000Z,59.01,91.5
2023-09-12T00:00:00.000Z,59.99,42.5,42.5,,,,,2023-09-12T00:00:00.000Z,59.99,42.5
2023-09-15T00:00:00.000Z,61.34,97.65,97.65,,,,,2023-09-15T00:00:00.000Z,61.34,97.65
,,,60.929,,,,,2023-09-17T00:00:00.000Z,60.29,68.5
,,,0.411,,,,,,,59.879
,,,,,,,,,,0.411
