Batting Stats
Player,Bat Runs,Fours Hit,Sixes Hit,Balls Faced,Fifty,Hundred,Is Batting,Is Out
Ishan Kishan,15,3,0,12,0,0,True,True
RG Sharma,11,1,1,10,0,0,True,True
C Green,41,6,1,23,0,0,True,True
SA Yadav,33,2,2,20,0,0,True,True
Tilak Varma,26,0,2,25,0,0,True,True
TH David,13,1,0,16,0,0,True,True
N Wadhera,23,2,2,12,0,0,True,True
CJ Jordan,4,0,0,7,0,0,True,True
HR Shokeen,0,0,0,1,0,0,True,False
KR Mayers,18,3,0,13,0,0,True,True
PN Mankad,3,0,0,6,0,0,True,True
KH Pandya,8,1,0,11,0,0,True,True
MP Stoinis,40,5,1,29,0,0,True,True
A Badoni,1,0,0,7,0,0,True,True
N Pooran,0,0,0,1,0,0,True,True
DJ Hooda,15,0,1,14,0,0,True,True
K Gowtham,2,0,0,3,0,0,True,True
Ravi Bishnoi,3,0,0,6,0,0,True,True
Naveen-ul-Haq,1,0,0,5,0,0,True,False
Mohsin Khan,0,0,0,7,0,0,True,True

Bowling Stats
Player,Runs Given,Fours Given,Sixes Given,Balls Bowled,Catches Taken,Runouts,Stumping,Is Ball,Dot Balls,Maiden Over,Wickets Taken
KH Pandya,42,5,1,24,0,0,0,True,0,0,0
K Gowtham,8,2,0,6,1,0,0,True,0,0,0
Naveen-ul-Haq,39,3,2,27,0,0,0,True,0,0,4
Yash Thakur,35,3,2,26,0,0,0,True,0,0,3
Mohsin Khan,28,1,2,18,0,0,0,True,0,0,1
Ravi Bishnoi,30,1,1,25,1,0,0,True,0,0,0
JP Behrendorff,23,3,0,18,0,0,0,True,0,0,0
Akash Madhwal,6,0,0,21,1,0,0,True,0,0,6
CJ Jordan,7,1,0,12,1,0,0,True,0,0,1
C Green,15,1,0,18,1,0,0,True,0,0,1
HR Shokeen,18,2,1,7,0,0,0,True,0,0,0
PP Chawla,32,2,1,26,0,0,0,True,0,0,2

Fielding Stats
Player,Catches Taken,Runouts
KH Pandya,0,0
K Gowtham,1,0
Naveen-ul-Haq,0,0
A Badoni,1,0
Yash Thakur,0,0
N Pooran,1,0
Mohsin Khan,0,0
Ravi Bishnoi,1,0
DJ Hooda,3,0
JP Behrendorff,0,0
Akash Madhwal,1,0
HR Shokeen,0,0
CJ Jordan,1,0
C Green,1,0
PP Chawla,0,0
TH David,2,0
Ishan Kishan,2,0
RG Sharma,2,0
